"만 0~6세
24,6,새 상황에서얼굴 확인하기,낯선 장난감이나 새로운 소리를 들려준다. 아이가 부모 얼굴을 쳐다보면 밝게 웃으며 '재밌어~'라고 반응한다. 부모 표정으로 상황을 판단하는 과정을 자연스럽게 지원한다.,"사회적 참조 능력을 강화하고, 불확실한 상황에서 타인의 감정 표현을 단서로 행동을 결정하는 사회적 판단력을발달시킨다.",사회성,"Sorce, J. F., Emde, R. N., Campos, J. J., & Klinnert, M. D. (1985). Maternal emotional signaling. Developmental Psychology, 21(1), 195–200.",,,,
24,7,화난 상황 이해하기,인형 두 개를 가지고 한 인형이 다른 인형의 장난감을빼앗는 시늉을 한다. '이 인형이 화났겠지?'라고 물으며 아이가 반응하도록 유도한다. '화가 나면 어떻게 할까?'라고 함께 이야기한다.,"타인이 화나는 상황을 이해하고 그 감정에 공감하는 능력을 키우며, 갈등 상황에 대한 초기사회적 이해를 형성한다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
24,5,친구 위로하기역할놀이,"인형이 넘어져 우는 척한다. '인형이 울어, 어떻게 해줄까?'라고 묻고 아이가 안아주거나 쓰다듬으면 '잘 위로해줬네!'라고 반응한다.","타인의 고통에 반응해 위로 행동을 취하는 친사회적 행동을 연습하고, 공감 기반의 사회적행동 레퍼토리를 확장한다.",사회성,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
24,6,감정 이름 맞추기 놀이,"표정 카드(기쁨·슬픔·놀람·화남)를 하나씩 보여주며'이 친구 기분이 어때?'라고 묻는다. 아이가 단어나 표정으로 대답하면 '맞아, OO한 얼굴이야!'라고 반응한다.","다양한 감정 어휘를 학습하고 표정과 감정을연결하는 정서 인식 능력을 발달시키며, 감정표현의 다양성을 경험한다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
24,7,함께 문제 해결하기,아이가 혼자 열기 어려운 상자를 건넨다. 아이가 도움을 요청하거나 가져오면 '같이 해보자~'라고 말하며 함께 열어낸다. '같이 하니까 됐지!'라고 반응한다.,"어려운 상황에서 타인에게 도움을 요청하고협력하는 사회적 문제 해결 능력을 키우고, 협동의 긍정적 경험을 형성한다.",사회성,"Tomasello, M. (2009). Why We Cooperate. MIT Press.",,,,
24,6,기다리기 연습,아이가 간식을 달라고 할 때 '잠깐만~'이라고 말하고30초 후에 건네준다. 기다리면 '잘 기다렸어!'라고 크게 칭찬한다. 점차 기다리는 시간을 늘려간다.,"충동 조절과 만족 지연 능력을 훈련하고, 사회적 상황에서 규칙을 이해하고 따르는 자기 조절 능력의 기초를 형성한다.",사회성,"Mischel, W. (2014). The Marshmallow Test. Little, Brown and Company.",,,,
24,5,고마워 표현연습,"아이에게 물건을 건네줄 때 '고마워라고 해봐~'라고 유도한다. 아이가 말하면 '잘했어, 고마워!'라고 반응한다. 반대로 아이가 뭔가를 건네면 부모도 '고마워~'라고 말해준다.","감사 표현을 일상 속에서 자연스럽게 학습하고, 사회적 예의와 관계 유지를 위한 친사회적언어 사용 능력을 형성한다.",사회성,"Hay, D. F. (1979). Cooperative interactions between very young children. Child Development, 50(1), 246–252.",,,,
24,6,역할 바꾸기놀이,"아이와 번갈아 역할을 바꿔 논다. 부모가 아이 역할을하고 아이가 부모 역할(밥 주기, 재우기)을 해보도록유도한다. '이번엔 OO이가 엄마야~'라고 설정해준다.","타인의 관점과 역할을 경험하는 조망 수용 능력의 초기 형태를 자극하고, 사회적 역할에 대한 이해를 심화시킨다.",사회성,"Leslie, A. M. (1987). Pretense and representation. Psychological Review, 94(4), 412–426.",,,,
24,6,책 속 사물 가리키기,"그림책을 펼쳐 '곰이 어디 있지?'라고 묻고 아이가 가리키도록 기다린다. 맞으면 '맞아, 여기 있네!'라고 반응한다. 3~5개 사물로 확장한다.","질문 형식의 언어를 이해하고 책 속 정보를 찾아내는 수용 언어 능력을 강화하며, 그림과 언어의 연결을 심화시킨다.",언어,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
24,5,두 단어 문장말하기,아이가 '우유'라고 하면 바로 주지 않고 '우유 더?'라고모델링한다. 아이가 두 단어를 따라 말하면 즉시 건네며 '우유 더! 잘했어~'라고 반응한다.,"두 단어 조합 발화를 촉진해 초기 문법 구조형성을 지원하고, 의사소통의 효율성과 표현언어 능력을 발달시킨다.",언어,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,,
24,5,신체 부위 두곳 가리키기,"눈이랑 코 보여줘~'라고 말하고 아이가 두 곳을 차례로 가리키도록 기다린다. 성공하면 '눈이랑 코, 맞아!'라고 반응한다. 귀·입 등으로 조합을 바꿔 반복한다.","두 개의 언어 지시를 순서대로 처리하는 작업기억과 수용 언어 능력을 강화하고, 신체 어휘를 능동적으로 사용하는 능력을 발달시킨다.",언어,CDC. (2023). Developmental Milestones: 24 Months. cdc.gov/ncbddd/actearly,,,,
24,5,고개 끄덕이기·젓기 연습,"사과 좋아해?'라고 물으며 부모가 먼저 고개를 끄덕이는 시범을 보인다. '싫어하는 거 있어?'라고 물으며 젓는 시범도 보인다. 아이가 따라 하면 '맞아, 고개로 말했네!'라고 반응한다.","몸짓 언어의 다양성을 확장하고, 언어와 비언어적 소통 수단을 함께 활용하는 복합 의사소통 능력을 발달시킨다.",언어,"Bates, E. et al. (1979). The Emergence of Symbols. Academic Press.",,,,
24,6,키스 보내기몸짓 배우기,부모가 손에 키스를 하고 날려 보내는 시범을 보이며'사랑해~'라고 말한다. 아이가 따라 하면 '나도 받았어~!'라고 크게 반응한다. 전화 통화 흉내를 내며 확장한다.,"언어 외 다양한 사회적 몸짓을 학습하고, 몸짓과 감정 표현을 연결하는 비언어적 소통 능력의 레퍼토리를 확장한다.",언어,"Bates, E. et al. (1979). The Emergence of Symbols. Academic Press.",,,,
24,7,두 단어 문장다양하게 확장,"아이가 말하는 단어에 하나를 더해 두 단어로 확장해반복해준다. 아이가 '공'이라 하면 '공 줘', '공 굴려', '공크다'처럼 다양한 조합을 모델링한다.","다양한 두 단어 조합을 경험해 초기 문법 구조의 폭을 넓히고, 상황에 맞는 표현 선택 능력을 발달시킨다.",언어,"Hoff, E. (2006). How social contexts support and shape language development. Developmental Review, 26(1), 55–88.",,,,
24,6,간단한 질문에대답하기,"이게 뭐야?', '어디 있어?', '누구야?'처럼 한 단어로 대답할 수 있는 질문을 한다. 아이가 단어나 몸짓으로 대답하면 '맞아!'라고 반응한다.","다양한 의문사를 이해하고 적절히 반응하는능력을 키우고, 질문-응답 대화 구조의 초기형태를 발달시킨다.",언어,American Speech-Language-Hearing Association (ASHA). (2024). Receptive Language Development in Toddlers. asha.org,,,,
24,6,사물 이름 자발적으로 말하기,"일상 속 물건(신발, 컵, 책 등)을 들고 아이가 스스로이름을 말할 때까지 기다린다. 말하면 '맞아, OO이야!'라고 반응하고, 말이 없으면 첫 소리만 힌트로 준다.","자발적 명명 능력을 강화하고, 힌트없이 단어를 떠올리는 어휘 인출 능력을 발달시킨다.",언어,"Fenson, L. et al. (2007). MacArthur-Bates Communicative Development Inventories, 2nd ed. Brookes Publishing.",,,,
24,7,짧은 이야기만들기,"그림책 한 장면을 보며 '곰이 뭐 해?', '어디 가?'처럼연속 질문을 한다. 아이의 대답을 이어받아 '맞아, 곰이집에 가네~'처럼 짧은 이야기를 함께 만든다.",연속적인 언어 교환을 통해 이야기 구조를 이해하고 내러티브를 구성하는 초기 언어 능력을 발달시킨다.,언어,"Bruner, J. (1983). Child's Talk: Learning to Use Language. Oxford University Press.",,,,
24,5,동작 몸짓 다양하게 연습,"잘 잤어?' 물으며 두 손을 모아 베는 흉내, '맛있어?'라고 물으며 손으로 동그라미를 그리는 시범을 보인다. 아이가 따라 하면 '맞아, 그게 OO 몸짓이야!'라고 반응한다.","언어를 보완하는 다양한 관습적 몸짓을 학습하고, 몸짓과 의미를 연결하는 비언어적 소통능력을 확장한다.",언어,"Goldin-Meadow, S. (2003). Hearing Gesture: How Our Hands Help Us Think. Harvard University Press.",,,,
24,6,한 손으로 잡고 뚜껑 열기,통을 한 손으로 잡고 다른 손으로 뚜껑을 돌려 여는 시범을 보인다. 아이에게 건네고 스스로 해보도록 기다린다. 성공하면 '두 손이 함께 했네!'라고 반응한다.,"양손 협응의 고차원적 형태인 보조손·주도손역할 분담 능력을 발달시키고, 목적 달성을 위한 도구 조작 계획력을 키운다.",인지,"Rat-Fischer, L., O'Regan, J. K., & Fagard, J. (2012). The emergence of tool use. Journal of Experimental Child Psychology, 113(3), 440–446.",,,,
24,5,용기 잡고 숟가락으로 젓기,"그릇을 한 손으로 잡고 숟가락으로 젓는 시범을 보인다. '이쪽 손은 그릇 잡고, 이쪽 손은 저어봐~'라고 말하며 아이가 따라 하도록 유도한다.","두 손이 서로 다른 역할을 동시에 수행하는 양손 협응 능력을 훈련하고, 실생활 도구 사용에필요한 소근육 조절력을 강화한다.",인지,"Fagard, J. (2013). The role of imitation in the stabilization of handedness. Frontiers in Psychology, 4, 947.",,,,
24,6,장난감 스위치·버튼 누르기,버튼을 누르면 소리나 빛이 나는 장난감을 건넨다. '어떻게 하면 소리 날까?'라고 묻고 아이가 스스로 탐색하도록 기다린다. 성공하면 '버튼 눌렀더니 소리 났네!'라고 반응한다.,"인과 관계를 탐색하고 도구의 작동 원리를 파악하는 능력을 키우고, 스스로 탐구하는 자기주도적 학습 동기를 강화한다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
24,7,손잡이 돌려열기,손잡이가 달린 장난감 상자나 병을 건네며 '이건 어떻게 열까?'라고 묻는다. 아이가 손잡이를 돌리거나 당기려 시도하면 '잘 생각했어!'라고 격려한다.,"사물의 구조를 탐색하고 작동 방식을 추론하는 문제 해결 능력을 키우며, 시행착오를 통한인과적 학습 능력을 발달시킨다.",인지,"Piaget, J. (1952). The Origins of Intelligence in Children. International Universities Press.",,,,
24,7,장난감 접시에음식 올리기,장난감 접시와 음식 모형을 꺼내 '접시에 담아볼까?'라고 유도한다. 아이가 음식을 접시에 올리면 '맛있겠다~'라고 반응하며 어떤 음식인지 이름을 물어본다.,"두 개 이상의 사물을 관계 지어 동시에 조작하는 능력을 발달시키고, 실생활 장면을 재현하는 상징 놀이를 통해 인지적 표상 능력을 강화한다.",인지,"Leslie, A. M. (1987). Pretense and representation. Psychological Review, 94(4), 412–426.",,,,
24,6,인형 놀이 동시 진행,인형 두 개와 장난감 컵을 꺼내 두 인형에게 번갈아 차를 마시게 하는 시범을 보인다. 아이가 두 인형을 동시에 활용하며 놀도록 유도한다.,"두 개 이상의 대상을 동시에 관리하는 주의 분배 능력과 복합 상징 놀이 능력을 발달시키고, 사회적 시나리오 구성력을 키운다.",인지,"Fenson, L. et al. (1976). Developmental trends in infant play. Child Development, 47(1), 232–236.",,,,
24,5,크기 순서 배열하기,큰·중간·작은 컵 3개를 섞어 놓고 '작은 것부터 늘어놓아 볼까?'라며 시범을 보인다. 아이가 따라 늘어놓으면'순서대로 됐네!'라고 반응한다.,"크기 개념을 이해하고 순서에 따라 사물을 배열하는 서열화 능력을 발달시키며, 초기 수학적 사고의 기초를 형성한다.",인지,"Piaget, J. (1952). The Origins of Intelligence in Children. International Universities Press.",,,,
24,6,색깔 이름 맞추기,"빨강·파랑·노랑 블록을 꺼내 '빨간 거 줘볼래?'라고 말한다. 아이가 맞는 색을 고르면 '맞아, 빨간색이야!'라고 반응하며 색깔 이름을 반복해준다.","색깔 개념을 언어와 연결해 내재화하고, 범주적 지각과 언어 지시에 따른 선택 능력을 발달시킨다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
24,7,3조각 퍼즐 완성하기,3조각 퍼즐을 꺼내 한 조각을 빼두고 '어디에 들어갈까?'라고 묻는다. 아이가 맞는 자리를 찾아 끼우면 '찾았다!'라고 크게 반응한다. 두 조각으로 심화한다.,"형태 변별과 공간 추론 능력을 강화하고, 전체-부분 관계를 이해하며 목표를 달성하는 문제 해결 집중력을 발달시킨다.",인지,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
24,6,가상 놀이 시나리오 만들기,"블록을 자동차라고 가정하며 '부릉~ 주유소 왔어요'라고 말하며 가상 시나리오를 시작한다. 아이가 역할을이어받아 놀면 '맞아, OO이 운전하네!'라고 반응하며놀이를 확장한다.","사물을 다른 무언가로 대체하는 고차원적 상징 놀이 능력을 발달시키고, 창의적 서사 구성과 인지적 유연성을 키운다.",인지,"Leslie, A. M. (1987). Pretense and representation. Psychological Review, 94(4), 412–426.",,,,
24,6,공 발로 차기,큰 공을 바닥에 놓고 '발로 세게 차봐~'라며 시범을 보인다. 아이가 발을 내딛어 공에 닿으면 '찼다!'라고 반응하고 거리를 늘려 다시 도전하게 한다.,"한 발로 균형을 잡고 다른 발로 공을 차는 동적 균형 감각과 하지 협응력을 강화하고, 목표지향적 대근육 동작을 발달시킨다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
24,6,뛰어보기,"부모가 먼저 제자리에서 뛰며 '폴짝~!'이라고 말한다. 아이에게 '같이 뛰어봐~'라고 유도하고, 아이가 발이떨어지면 '뛰었다!'라고 크게 반응한다. 앞으로 뛰기도시도한다.","양발 도약과 착지에 필요한 하지 근력과 동적균형 감각을 발달시키고, 달리기와 구별되는도약 동작 능력을 키운다.",신체발달,CDC. (2023). Developmental Milestones: 24 Months. cdc.gov/ncbddd/actearly,,,,
24,7,계단 걸어 올라가기,계단 앞에서 '두 발로 걸어 올라가 보자~'라고 말하며난간을 잡도록 안내한다. 기어 올라가려 하면 '발로 걸어봐~'라며 유도한다. 3~4칸 이내로 시작한다.,"교대 보행으로 계단을 오르는 하지 협응력과균형 감각을 발달시키고, 기기에서 걷기로 이동 방식을 전환하는 신체 인지 능력을 키운다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
24,5,숟가락으로 스스로 먹기,떠먹기 쉬운 음식을 그릇에 담아 아이 앞에 놓고 스스로 먹도록 기다린다. 도와주지 않고 지켜보다 성공하면 '혼자 먹었네!'라고 칭찬한다. 흘려도 시도를 격려한다.,"숟가락 파지와 손목 조절 능력을 강화하고, 자기 주도적 식사 독립을 완성하며 성취감과 자기 효능감을 형성한다.",신체발달,"Carruth, B. R., & Skinner, J. D. (2002). Feeding behaviors in healthy children. Journal of the American College of Nutrition, 21(2), 88–95.",,,,
24,7,달리기 출발·정지 연습,출발!'이라고 말하면 달리고 '멈춰!'라고 말하면 서는게임을 한다. 부모가 함께 달리며 시범을 보이고 아이가 지시에 맞게 멈추면 '잘 멈췄어!'라고 반응한다.,"달리기와 급정지에 필요한 대근육 협응력과억제 능력을 훈련하고, 언어 지시에 따라 신체를 조절하는 자기 조절 능력을 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
24,6,공 굴리고 받기,마주 앉아 공을 굴려주고 아이가 두 손으로 잡도록 유도한다. '이번엔 엄마한테 굴려봐~'라고 말하며 주고받기를 반복한다. 거리를 조금씩 늘린다.,"팔과 손의 협응력을 강화하고, 굴러오는 공의속도와 방향을 예측하는 공간 지각 및 반응 능력을 발달시킨다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
24,6,한 발로 잠깐서기,부모가 한 발로 서는 시범을 보이며 '학처럼 서봐~'라고 유도한다. 아이가 한 발을 들어 잠깐이라도 버티면'잘했어!'라고 반응한다. 벽을 잡아도 괜찮다.,"한 발 지지에 필요한 정적 균형 감각과 하지근력을 발달시키고, 신체 균형 인식과 자기 조절 능력을 키운다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
24,5,선 긋기·동그라미 그리기,종이에 직선을 그어 보여주고 '따라 그려봐~'라고 유도한다. 아이가 선을 긋거나 동그라미 비슷한 형태를 그리면 '선 그었네!'라고 반응한다.,"소근육 조절 능력과 도구(연필·크레파스) 파지력을 강화하고, 의도적 선 긋기를 통해 쓰기준비 능력의 기초를 형성한다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
24,7,장애물 넘어달리기,낮은 쿠션 2~3개를 바닥에 놓고 '이거 넘어 달려봐~'라고 유도한다. 아이가 장애물을 피하거나 넘으며 달리면 '다 넘었다!'라고 크게 반응한다.,"달리면서 장애물을 인식하고 회피하는 복합대근육 협응력과 공간 지각 능력을 발달시키고, 도전적 신체 활동에 대한 자신감을 키운다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
24,6,공 위로 던지기,가벼운 공을 두 손으로 위로 던지는 시범을 보이며 '위로 던져봐~'라고 유도한다. 아이가 공을 위로 던지면'올라갔다!'라고 반응한다. 높이를 경쟁해도 좋다.,"어깨와 팔의 대근육 협응력을 강화하고, 던지기 방향을 조절하는 운동 계획 능력과 힘 조절능력을 발달시킨다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
